location_id,date_time,vehicle_count,count_of_cars,count_of_bikes,count_of_buses,average_speed_kmph,weather_condition,congestion_level,traffic_volume,temperature_celsius,humidity_percent
44,07-05-2024 21:30,101,83,14,4,24.94,Rainy,High,Low,28.3,65.7
30,13-04-2025 01:17,1289,133,861,295,37.77,Snowy,Medium,High,29.4,91.5
17,29-04-2024 05:57,844,394,79,371,23.07,Foggy,High,Medium,43.9,67
65,31-05-2024 21:56,1326,364,918,44,62.05,Rainy,Low,High,42.4,47.7
77,13-02-2025 09:35,1258,200,559,499,53.03,Rainy,Low,High,23.8,92.4
76,15-03-2025 05:40,665,354,285,26,76.45,Snowy,Low,Medium,35.6,70.2
35,17-06-2024 21:37,1267,56,606,605,22.04,Rainy,High,High,30.6,35.4
18,30-09-2024 03:13,496,188,43,265,24.54,Rainy,High,Medium,43.8,81.4
60,25-08-2024 22:03,1349,664,142,543,75.35,Rainy,Low,High,25.8,34.2
90,20-07-2024 01:51,462,111,179,172,67.32,Rainy,Low,Medium,39.9,94.3
3,05-04-2025 13:13,1439,587,424,428,51.52,Snowy,Low,High,23.3,84
72,04-11-2024 01:15,246,104,10,132,20.7,Rainy,High,Low,35.2,32.7
45,04-09-2024 14:08,466,66,262,138,34.24,Sunny,Medium,Medium,38.1,36.9
45,07-12-2024 18:45,1157,319,314,524,48.64,Snowy,Medium,High,26.7,80.7
24,05-07-2024 16:44,806,502,235,69,38.26,Snowy,Medium,Medium,20,38.5
76,28-05-2024 13:08,1321,622,484,215,55.26,Snowy,Low,High,20.2,47.6
65,07-02-2025 12:59,1416,791,488,137,29.43,Rainy,Medium,High,34.3,91.9
67,26-09-2024 10:18,367,146,88,133,19.26,Sunny,High,Low,31.3,60.2
54,03-07-2024 17:14,508,118,0,390,47.02,Snowy,Medium,Medium,21.4,51
10,14-10-2024 03:37,1130,1036,84,10,23.53,Sunny,High,High,23.2,51.9
96,18-07-2024 08:33,169,41,125,3,45.42,Rainy,Medium,Low,21.5,69.7
11,02-02-2025 17:52,1463,75,1349,39,33.4,Rainy,Medium,High,33.2,66.7
94,15-09-2024 01:04,1358,831,300,227,21.2,Foggy,High,High,24,41.9
90,16-01-2025 05:00,913,493,71,349,58.5,Foggy,Low,Medium,33.5,69.1
58,25-08-2024 00:10,1063,972,85,6,73.35,Snowy,Low,High,32.4,82.6
58,09-09-2024 23:57,1403,770,377,256,75.47,Rainy,Low,High,38,61.3
82,12-07-2024 03:54,659,119,524,16,27.84,Foggy,Medium,Medium,42.5,84.9
56,21-12-2024 06:05,214,162,14,38,79.3,Rainy,Low,Low,39.4,58.2
96,19-01-2025 03:09,1121,1002,4,115,70.91,Foggy,Low,High,42.6,46.9
89,12-11-2024 14:47,525,177,319,29,36.57,Foggy,Medium,Medium,41.3,56.3
37,15-03-2025 11:34,1477,480,208,789,68.57,Sunny,Low,High,40.3,42.6
34,11-11-2024 13:49,1337,18,590,729,51.45,Rainy,Low,High,26.7,87
52,08-07-2024 09:34,1040,1028,1,11,65.35,Foggy,Low,High,26.4,53.4
100,30-06-2024 02:11,1190,431,743,16,28.24,Snowy,Medium,High,32.1,39.2
80,02-08-2024 08:28,668,229,261,178,24.27,Foggy,High,Medium,31.2,44
11,21-05-2024 15:29,201,113,47,41,39.47,Rainy,Medium,Low,27.2,40.1
69,29-10-2024 13:34,1030,197,49,784,74.21,Foggy,Low,High,25,60.1
73,10-08-2024 09:51,168,12,31,125,48.07,Snowy,Medium,Low,32.5,65.1
52,28-05-2024 05:43,1302,981,184,137,42.37,Sunny,Medium,High,29.2,31.6
95,05-01-2025 13:59,1197,586,49,562,57.03,Foggy,Low,High,35,68.1
88,09-03-2025 23:04,422,184,185,53,44.36,Rainy,Medium,Medium,23.1,51
41,24-03-2025 12:38,1360,373,443,544,78,Foggy,Low,High,34,68.6
89,22-09-2024 01:50,1007,827,169,11,39.78,Sunny,Medium,High,34.1,53.7
78,27-12-2024 23:58,1475,93,369,1013,29.85,Rainy,Medium,High,36,64.6
71,25-02-2025 19:56,1434,1317,89,28,50.18,Foggy,Low,High,44.7,82.7
58,28-10-2024 23:50,1340,633,543,164,53.86,Sunny,Low,High,42.8,56.5
33,25-11-2024 08:24,305,127,78,100,52.14,Snowy,Low,Low,31.3,92.6
82,28-08-2024 11:09,1037,220,193,624,45.68,Foggy,Medium,High,22.6,93.3
46,11-03-2025 02:48,193,154,6,33,41.31,Snowy,Medium,Low,38,55.9
64,21-05-2024 16:03,861,546,273,42,47.91,Snowy,Medium,Medium,40.2,82.4
64,03-08-2024 03:46,1271,17,1160,94,50.13,Rainy,Low,High,28.1,61.1
99,10-11-2024 00:07,784,426,98,260,44.22,Sunny,Medium,Medium,31.2,78.1
13,21-09-2024 06:14,1005,903,89,13,54.55,Sunny,Low,High,34.1,73.6
90,15-10-2024 06:14,947,535,313,99,58.72,Rainy,Low,Medium,42.5,58.4
79,09-11-2024 03:12,517,110,283,124,25.8,Sunny,Medium,Medium,37.4,70.5
4,15-04-2025 08:38,223,30,18,175,67.75,Foggy,Low,Low,33.4,46.7
51,17-07-2024 20:29,707,307,381,19,57.38,Snowy,Low,Medium,25.6,47.2
9,14-01-2025 07:32,1332,532,593,207,33.81,Snowy,Medium,High,34.2,31.3
72,29-06-2024 21:38,428,282,13,133,33.51,Rainy,Medium,Medium,22.4,33.2
37,02-02-2025 23:12,325,284,17,24,38.01,Foggy,Medium,Low,22.4,80.2
34,06-05-2024 09:35,566,412,69,85,13.81,Foggy,High,Medium,36.3,70.4
79,15-11-2024 07:19,788,465,291,32,34.5,Rainy,Medium,Medium,28.7,53.7
99,29-05-2024 06:07,99,31,38,30,18.73,Foggy,High,Low,38.8,69
91,09-07-2024 22:55,444,293,128,23,15.64,Foggy,High,Medium,34.9,51.3
58,10-05-2024 03:57,1100,28,484,588,59.83,Sunny,Low,High,34.7,53
79,09-02-2025 15:17,1442,928,2,512,55.67,Foggy,Low,High,32.9,70.6
84,01-02-2025 18:38,640,134,331,175,74.83,Snowy,Low,Medium,32.5,38
3,04-07-2024 12:52,486,282,71,133,71.2,Foggy,Low,Medium,20.5,41.4
82,08-09-2024 11:45,656,276,378,2,58.4,Rainy,Low,Medium,36.5,92
17,08-10-2024 09:44,1055,202,272,581,26,Foggy,Medium,High,25.2,57.4
26,06-01-2025 14:15,368,7,133,228,68.64,Sunny,Low,Low,30.3,89
68,05-02-2025 04:26,966,116,285,565,70.64,Sunny,Low,Medium,26.9,38.9
36,12-06-2024 17:59,301,245,2,54,58.8,Rainy,Low,Low,20.4,91.1
75,03-05-2024 02:39,963,650,123,190,67.45,Rainy,Low,Medium,42.9,82.7
36,08-04-2025 06:29,1388,358,153,877,33.72,Rainy,Medium,High,42.8,59
67,26-12-2024 19:46,540,102,366,72,18.64,Snowy,High,Medium,44.5,37.6
48,20-06-2024 04:34,334,132,104,98,33.02,Rainy,Medium,Low,27.7,30.8
22,01-08-2024 22:27,1303,271,926,106,62.45,Snowy,Low,High,31.2,30.5
78,24-05-2024 16:29,308,93,86,129,39.96,Sunny,Medium,Low,21.1,41.9
78,14-12-2024 17:44,1372,917,135,320,72.76,Snowy,Low,High,20.8,37.7
20,28-11-2024 15:14,171,66,31,74,51.69,Rainy,Low,Low,43.7,34.4
99,11-05-2024 11:27,1365,1146,120,99,31.28,Foggy,Medium,High,40.7,74.6
33,04-01-2025 05:44,769,678,70,21,65.25,Snowy,Low,Medium,44.5,61.1
20,06-03-2025 14:47,962,662,201,99,77.45,Foggy,Low,Medium,38.6,66.2
43,01-08-2024 23:23,1150,589,148,413,36.25,Sunny,Medium,High,31.2,37.1
25,12-06-2024 10:29,64,41,21,2,69.73,Snowy,Low,Low,43.4,77
61,17-02-2025 16:20,704,640,49,15,16.55,Snowy,High,Medium,30.3,62.8
76,25-01-2025 12:40,866,476,293,97,57.37,Rainy,Low,Medium,25.2,49.1
62,04-01-2025 09:07,786,41,393,352,53.5,Rainy,Low,Medium,23,78.4
10,09-01-2025 15:13,277,246,4,27,22.94,Rainy,High,Low,40.6,36.2
54,14-08-2024 20:04,649,588,45,16,25.34,Sunny,Medium,Medium,20.6,38.5
17,03-03-2025 05:31,667,469,134,64,18.99,Rainy,High,Medium,21.5,48.3
11,10-07-2024 14:15,731,530,28,173,52.62,Foggy,Low,Medium,22.2,76.9
34,21-01-2025 21:36,441,22,397,22,59.61,Rainy,Low,Medium,29.7,36.8
84,20-08-2024 18:48,95,79,16,0,35.59,Sunny,Medium,Low,41,59
75,29-01-2025 17:51,1154,312,254,588,75,Sunny,Low,High,42.7,76.7
64,28-11-2024 20:26,487,467,19,1,37.68,Foggy,Medium,Medium,32.1,90.5
36,26-02-2025 20:34,703,615,26,62,40.89,Foggy,Medium,Medium,42.2,61.4
38,16-07-2024 19:22,625,127,380,118,60.28,Rainy,Low,Medium,31,54.8
91,23-09-2024 16:57,588,435,0,153,39.07,Foggy,Medium,Medium,35.1,45.3
90,28-10-2024 20:54,977,844,104,29,19.2,Foggy,High,Medium,37.1,94.1
60,18-01-2025 08:17,612,531,48,33,69.66,Rainy,Low,Medium,29.7,79.4
28,21-07-2024 19:31,720,156,324,240,11.63,Snowy,High,Medium,42.5,34.6
4,30-01-2025 20:06,564,152,164,248,20.34,Snowy,High,Medium,44.2,66.3
50,01-07-2024 15:02,1428,361,875,192,52.34,Snowy,Low,High,28.5,33.9
46,03-06-2024 01:27,743,505,185,53,66.62,Foggy,Low,Medium,25.6,68.1
53,16-05-2024 07:22,60,6,6,48,41.05,Rainy,Medium,Low,36.4,38.3
6,23-10-2024 19:40,1463,400,169,894,34.48,Sunny,Medium,High,22.1,53.1
35,28-04-2024 12:48,1214,277,316,621,68.32,Foggy,Low,High,23.3,85.1
29,31-08-2024 17:30,1448,513,297,638,59.45,Snowy,Low,High,24,36.5
50,29-01-2025 20:11,924,879,23,22,71.18,Snowy,Low,Medium,25.6,74.3
88,19-08-2024 05:01,661,526,36,99,72.51,Rainy,Low,Medium,43,83.1
30,09-12-2024 06:22,1427,781,577,69,44.65,Foggy,Medium,High,24,41.6
1,15-11-2024 01:00,772,585,174,13,51.64,Snowy,Low,Medium,32.9,52.7
99,23-06-2024 20:47,369,251,89,29,75.85,Rainy,Low,Low,32.3,42.5
72,30-05-2024 20:04,1482,502,0,980,28.11,Rainy,Medium,High,41.5,83.8
29,02-10-2024 11:10,1276,355,391,530,54.32,Sunny,Low,High,32.7,43.4
3,27-11-2024 07:38,353,143,39,171,53.44,Foggy,Low,Low,22,61.5
57,11-01-2025 19:47,1304,655,16,633,69.81,Foggy,Low,High,25.8,53.1
34,24-01-2025 20:59,836,766,50,20,68.66,Snowy,Low,Medium,32.1,92.5
36,26-11-2024 00:04,66,7,23,36,60.35,Foggy,Low,Low,43.4,60.2
15,13-07-2024 05:50,571,12,431,128,52.51,Rainy,Low,Medium,33.9,53.4
5,16-05-2024 21:50,922,202,326,394,75.63,Snowy,Low,Medium,34.1,33.1
10,05-08-2024 19:53,164,93,64,7,53,Rainy,Low,Low,24,34.9
84,02-08-2024 19:44,856,580,214,62,58.67,Rainy,Low,Medium,40.1,33.7
69,18-02-2025 04:37,1373,1236,101,36,72.62,Snowy,Low,High,38.7,57.3
27,02-04-2025 00:40,396,187,164,45,75.16,Foggy,Low,Low,40.7,33.1
37,10-12-2024 18:52,1481,189,1246,46,23.33,Snowy,High,High,36,52.3
81,04-06-2024 05:50,140,7,38,95,67.52,Snowy,Low,Low,36.2,76.5
28,19-07-2024 03:04,930,910,5,15,71.97,Sunny,Low,Medium,29.5,63.2
87,13-09-2024 00:58,1237,564,30,643,53.28,Snowy,Low,High,23.8,42.8
69,05-09-2024 00:09,749,631,78,40,49.16,Sunny,Medium,Medium,32.2,32.5
65,02-02-2025 23:43,807,593,32,182,70.7,Rainy,Low,Medium,20.3,37.2
95,18-05-2024 01:18,804,188,592,24,63.16,Sunny,Low,Medium,31.9,63.6
25,02-04-2025 04:24,883,241,121,521,77.64,Snowy,Low,Medium,30.4,55.5
65,07-06-2024 12:39,540,163,27,350,60.25,Sunny,Low,Medium,39.8,66.7
2,12-11-2024 07:38,1328,1085,28,215,28.56,Foggy,Medium,High,21.4,89.6
81,13-07-2024 10:43,382,279,93,10,73.52,Sunny,Low,Low,20.3,67.1
26,07-08-2024 03:44,409,361,10,38,30.82,Sunny,Medium,Medium,22.2,71.9
86,30-01-2025 20:36,611,225,289,97,63.88,Snowy,Low,Medium,23.2,40.1
56,02-01-2025 07:17,81,49,6,26,70.83,Snowy,Low,Low,34.3,66.5
85,08-04-2025 17:44,741,281,362,98,58.07,Rainy,Low,Medium,39.2,45.6
84,04-06-2024 01:15,1311,1190,89,32,11.36,Rainy,High,High,41.5,45.6
29,12-12-2024 18:11,915,312,171,432,32.67,Sunny,Medium,Medium,26.8,39.5
66,06-12-2024 19:37,531,58,430,43,55.89,Sunny,Low,Medium,43.5,63.3
90,04-02-2025 09:29,180,64,63,53,55.47,Foggy,Low,Low,42.4,33.4
95,13-11-2024 12:03,1145,447,83,615,51.88,Sunny,Low,High,40.8,84.4
8,19-05-2024 23:26,1427,530,297,600,74.46,Snowy,Low,High,40.7,68.6
87,17-10-2024 15:45,905,312,17,576,15.97,Foggy,High,Medium,35.3,46.4
52,27-01-2025 17:37,1495,106,1345,44,33.36,Rainy,Medium,High,36.7,46.7
27,21-10-2024 05:12,370,226,101,43,45.51,Sunny,Medium,Low,21.9,36
82,21-12-2024 13:26,553,350,4,199,67.37,Sunny,Low,Medium,33.4,68.5
87,04-07-2024 02:31,357,37,6,314,51.75,Sunny,Low,Low,38.2,42.7
72,03-03-2025 04:27,342,341,0,1,28.8,Rainy,Medium,Low,41.7,86.1
22,15-05-2024 07:48,959,916,31,12,20.99,Rainy,High,Medium,21.6,71.2
46,29-05-2024 19:02,1275,400,603,272,24.47,Foggy,High,High,25,93.5
26,24-09-2024 11:30,469,53,177,239,31.93,Snowy,Medium,Medium,43.5,81.6
5,08-07-2024 19:24,408,63,7,338,66.62,Sunny,Low,Medium,44.9,71
41,16-05-2024 12:10,1052,200,364,488,33.89,Snowy,Medium,High,35.7,33.7
30,26-12-2024 20:42,351,80,103,168,56.46,Snowy,Low,Low,24.9,37.6
46,12-11-2024 08:41,1106,677,76,353,51.87,Rainy,Low,High,41.7,32.9
56,10-07-2024 22:07,156,57,61,38,26.4,Sunny,Medium,Low,26.4,77.6
34,07-03-2025 11:17,712,295,88,329,68.84,Foggy,Low,Medium,33.1,92.4
3,15-08-2024 06:03,781,28,369,384,16.85,Snowy,High,Medium,29.3,63.2
15,25-03-2025 22:44,405,23,248,134,12.22,Snowy,High,Medium,31.9,41.8
90,09-06-2024 17:27,914,393,376,145,63.11,Sunny,Low,Medium,21.2,62.7
52,28-12-2024 18:48,1132,810,306,16,32.6,Rainy,Medium,High,24.8,73.8
62,18-12-2024 20:27,431,125,93,213,28.4,Snowy,Medium,Medium,40.7,72.5
93,08-09-2024 22:17,158,56,78,24,74.26,Rainy,Low,Low,23.1,89.3
38,16-01-2025 20:02,1094,629,19,446,28.73,Snowy,Medium,High,29.2,54.8
32,31-03-2025 03:28,294,282,3,9,25.6,Snowy,Medium,Low,33.1,33.3
90,11-07-2024 23:20,1133,1088,45,0,61.02,Snowy,Low,High,41.2,46.1
74,12-06-2024 19:57,190,161,12,17,24.54,Snowy,High,Low,20.5,61.8
82,25-03-2025 13:05,689,153,396,140,13.19,Rainy,High,Medium,37.7,72.9
48,05-06-2024 18:04,220,154,10,56,55.34,Snowy,Low,Low,25.2,47.5
83,01-11-2024 03:39,1224,388,262,574,10.97,Snowy,High,High,39.6,61.1
81,14-07-2024 10:05,1102,290,257,555,67.53,Rainy,Low,High,32.4,88.4
98,01-12-2024 06:35,282,179,18,85,47.16,Snowy,Medium,Low,40,78.4
10,14-01-2025 06:33,1413,1351,39,23,23.36,Rainy,High,High,35.1,57.3
15,13-11-2024 07:20,237,156,78,3,41.4,Rainy,Medium,Low,31.1,30.9
88,29-09-2024 23:29,452,155,180,117,41.2,Snowy,Medium,Medium,22.9,43.9
78,11-12-2024 05:42,262,79,96,87,45.39,Rainy,Medium,Low,44.4,34.4
48,05-08-2024 23:24,382,26,158,198,65.49,Snowy,Low,Low,22.2,46.7
97,05-02-2025 13:53,1066,332,719,15,18.45,Sunny,High,High,20.9,50.5
94,07-04-2025 17:08,1191,399,390,402,46.09,Foggy,Medium,High,20.5,69.8
6,13-11-2024 12:56,418,252,148,18,16.18,Snowy,High,Medium,35.5,37.6
100,11-10-2024 14:15,190,167,3,20,15.66,Snowy,High,Low,27.9,65.3
65,23-07-2024 02:02,543,482,54,7,15.59,Sunny,High,Medium,35.8,86.5
87,26-09-2024 03:14,1420,568,570,282,57.36,Snowy,Low,High,31.2,80.9
54,10-07-2024 03:27,733,553,24,156,70.49,Sunny,Low,Medium,23.5,35.8
1,15-05-2024 10:32,1224,1074,110,40,74,Sunny,Low,High,37.1,48.7
60,13-12-2024 09:38,92,3,58,31,51.17,Rainy,Low,Low,22.3,44.9
28,15-02-2025 01:53,963,826,114,23,47.3,Foggy,Medium,Medium,29.7,58.4
94,03-02-2025 10:18,1312,805,253,254,44.18,Sunny,Medium,High,30.1,54.1
2,16-11-2024 08:45,485,420,40,25,11,Snowy,High,Medium,38.5,30.1
7,16-04-2025 03:49,1464,341,1088,35,53.76,Foggy,Low,High,38.4,47
70,16-12-2024 13:04,1466,42,85,1339,64.74,Snowy,Low,High,44.2,44.5
84,07-12-2024 04:19,366,338,9,19,78.23,Sunny,Low,Low,33.6,71.7
56,06-09-2024 10:10,1031,983,9,39,45.7,Snowy,Medium,High,25.8,56.3
85,03-04-2025 11:19,1403,614,573,216,54.71,Rainy,Low,High,30.7,52.3
54,04-11-2024 21:33,1442,690,629,123,61.19,Snowy,Low,High,38.2,53.6
25,04-08-2024 18:31,1451,701,632,118,69.81,Sunny,Low,High,20.8,94.1
55,06-01-2025 09:20,1326,805,155,366,53.32,Snowy,Low,High,37,33.5
69,03-07-2024 04:52,838,246,365,227,77.24,Foggy,Low,Medium,25.2,30.8
98,10-08-2024 01:18,414,300,6,108,75.32,Rainy,Low,Medium,35.9,39.4
92,14-08-2024 13:41,697,347,171,179,35.92,Snowy,Medium,Medium,36.8,49.6
71,23-07-2024 13:36,1214,1199,5,10,58.27,Foggy,Low,High,32,92.2
48,18-09-2024 15:16,1081,751,175,155,15.39,Rainy,High,High,21.8,67.6
34,25-05-2024 22:59,107,79,27,1,67.02,Rainy,Low,Low,29.7,77
1,28-10-2024 19:36,1071,702,171,198,38.65,Sunny,Medium,High,28.1,36.1
34,29-08-2024 04:03,338,267,70,1,48.97,Snowy,Medium,Low,34.5,53.4
8,15-09-2024 13:25,800,651,38,111,33.8,Rainy,Medium,Medium,22.3,64
99,14-08-2024 08:38,475,312,43,120,68.6,Sunny,Low,Medium,34.6,30.4
93,09-03-2025 16:35,1460,745,38,677,35.93,Snowy,Medium,High,36.8,73.9
28,28-05-2024 10:07,173,50,10,113,60.33,Snowy,Low,Low,35,64.2
87,03-10-2024 20:05,257,99,134,24,65.39,Sunny,Low,Low,36.9,49.5
26,17-08-2024 12:22,1146,719,250,177,27.95,Rainy,Medium,High,33.2,43.6
100,25-09-2024 09:46,579,369,168,42,22.55,Rainy,High,Medium,31.4,51.8
59,12-11-2024 20:23,566,523,4,39,34.14,Foggy,Medium,Medium,34.9,45.9
66,09-01-2025 02:42,1323,945,267,111,56.69,Snowy,Low,High,36.6,39.4
6,07-01-2025 06:58,959,614,152,193,20.3,Foggy,High,Medium,30.7,38.8
19,20-08-2024 10:11,565,90,75,400,25.05,Sunny,Medium,Medium,31,94.1
22,28-11-2024 22:59,1039,703,315,21,33.96,Sunny,Medium,High,22.7,44.5
95,27-12-2024 05:14,166,153,4,9,31.01,Foggy,Medium,Low,32.4,74.1
24,01-04-2025 07:40,608,291,257,60,46.14,Snowy,Medium,Medium,39.5,88.5
62,16-06-2024 13:18,1069,418,80,571,25.38,Rainy,Medium,High,22.4,68.5
16,20-06-2024 02:42,1355,1224,69,62,28.97,Sunny,Medium,High,44.9,40.4
43,20-06-2024 02:31,165,46,5,114,75.3,Rainy,Low,Low,27.5,93.4
16,12-10-2024 10:24,885,12,287,586,45.53,Rainy,Medium,Medium,36.1,76.5
45,13-01-2025 05:36,1484,390,70,1024,15.83,Rainy,High,High,29.1,82.9
6,20-02-2025 01:43,1306,1262,20,24,47.77,Sunny,Medium,High,39.9,37.2
7,17-05-2024 00:14,208,34,10,164,28.18,Snowy,Medium,Low,39.3,37.4
57,13-06-2024 22:36,1276,111,193,972,23.86,Sunny,High,High,21.4,34.1
51,13-03-2025 13:10,1460,1300,101,59,23.48,Rainy,High,High,34.5,79.6
7,05-04-2025 20:54,1277,1115,19,143,24.69,Snowy,High,High,31.9,53.7
46,09-08-2024 21:56,682,89,117,476,75.19,Rainy,Low,Medium,25.6,42.4
3,04-07-2024 05:51,1288,238,908,142,69.76,Sunny,Low,High,24.8,89.4
41,15-03-2025 20:15,1168,1088,62,18,19.12,Foggy,High,High,28.5,80
81,07-01-2025 23:34,1005,850,19,136,52.62,Sunny,Low,High,31.1,85.4
42,06-10-2024 04:23,936,801,68,67,52.15,Sunny,Low,Medium,42,32.1
22,11-04-2025 10:30,662,8,4,650,50.02,Snowy,Low,Medium,43.8,33.7
1,09-12-2024 06:21,750,728,20,2,55.17,Foggy,Low,Medium,25.6,39.9
5,26-07-2024 15:04,1470,346,488,636,72.69,Snowy,Low,High,31.5,30.1
77,14-12-2024 07:23,929,690,103,136,59.58,Rainy,Low,Medium,32.4,91.5
13,26-08-2024 08:15,687,393,108,186,26.62,Sunny,Medium,Medium,28.5,94.5
49,01-03-2025 13:58,1147,431,248,468,23.22,Rainy,High,High,31.1,82.6
19,20-06-2024 05:39,230,80,82,68,43.17,Foggy,Medium,Low,28.1,55.6
13,14-10-2024 01:56,432,395,25,12,22.86,Sunny,High,Medium,33,33.9
44,30-04-2024 12:27,856,758,15,83,17.26,Sunny,High,Medium,44.6,52.1
