incident_id,location_id,date_time,incident_vehicle_type,deaths_occurred,severity,weather_condition
41,62,2024-08-01 07:19:11,Bike,0,Minor,Rainy
42,51,2024-10-28 02:01:18,Bus,1,Moderate,Foggy
43,55,2024-12-17 06:59:01,Bike,3,Minor,Sunny
44,64,2024-07-04 15:48:44,Bike,3,Moderate,Foggy
45,3,2025-04-17 08:32:30,Bike,2,Moderate,Snowy
46,51,2024-09-17 09:37:41,Bus,0,Major,Rainy
47,7,2025-01-05 01:14:40,Car,0,Minor,Foggy
48,21,2024-12-29 17:54:23,Car,2,Moderate,Snowy
49,73,2025-01-25 08:21:46,Bus,2,Moderate,Sunny
50,39,2024-05-05 21:03:48,Bus,1,Minor,Foggy
51,18,2024-08-29 22:31:32,Bike,0,Moderate,Rainy
52,4,2024-08-28 18:40:54,Car,1,Minor,Foggy
53,89,2024-07-15 00:26:05,Bus,1,Minor,Snowy
54,60,2024-11-27 18:51:17,Bus,1,Minor,Rainy
55,14,2024-12-27 07:33:42,Bus,0,Minor,Foggy
56,9,2025-01-20 18:33:31,Bike,0,Moderate,Rainy
57,90,2024-11-28 17:54:29,Car,0,Moderate,Rainy
58,53,2025-01-11 03:39:11,Bike,0,Major,Rainy
59,2,2024-09-13 09:41:03,Bus,2,Major,Rainy
60,84,2024-06-09 11:59:15,Car,3,Major,Snowy
61,92,2024-10-15 07:24:38,Bike,3,Major,Rainy
62,60,2025-03-09 14:37:23,Bike,3,Moderate,Sunny
63,71,2024-11-28 00:08:18,Car,2,Moderate,Snowy
64,44,2025-01-09 07:26:03,Bus,1,Minor,Snowy
65,8,2024-07-17 07:04:52,Bus,0,Minor,Rainy
66,47,2025-03-30 20:27:13,Bike,0,Minor,Rainy
67,35,2024-05-22 04:45:15,Bike,3,Moderate,Foggy
68,78,2025-03-01 17:33:46,Bike,0,Moderate,Sunny
69,81,2024-06-08 11:23:55,Car,3,Minor,Snowy
70,36,2024-10-31 18:55:00,Bike,0,Moderate,Snowy
71,50,2024-06-09 22:15:51,Car,2,Moderate,Rainy
72,4,2025-04-02 21:00:31,Bus,0,Major,Rainy
73,2,2025-02-28 17:41:12,Bus,0,Minor,Sunny
74,6,2024-12-20 19:10:30,Car,0,Major,Snowy
75,54,2024-09-23 17:19:23,Car,0,Major,Rainy
76,4,2024-08-15 12:36:18,Bus,0,Major,Snowy
77,54,2024-10-29 06:23:24,Bus,0,Minor,Rainy
78,93,2024-10-24 08:38:24,Bus,3,Minor,Sunny
79,63,2024-07-29 00:25:03,Bike,0,Minor,Sunny
80,18,2024-10-06 00:12:28,Bus,2,Moderate,Rainy
81,90,2024-08-15 22:26:25,Bike,0,Moderate,Snowy
82,44,2024-07-12 01:43:13,Car,2,Moderate,Sunny
83,34,2025-02-23 20:14:28,Bike,0,Minor,Foggy
84,74,2025-01-09 21:28:38,Car,2,Moderate,Sunny
85,62,2025-03-11 06:57:54,Bike,3,Minor,Rainy
86,100,2024-10-04 13:30:23,Bike,1,Minor,Foggy
87,14,2025-04-25 08:14:42,Bike,1,Moderate,Foggy
88,95,2025-02-02 20:09:19,Bike,3,Moderate,Foggy
89,48,2024-09-02 01:54:49,Car,2,Minor,Snowy
90,15,2025-03-11 06:03:27,Car,2,Major,Snowy
91,72,2024-11-24 08:44:15,Car,2,Minor,Snowy
92,78,2024-10-10 07:42:02,Bus,2,Minor,Rainy
93,87,2025-02-02 14:26:18,Bus,2,Minor,Rainy
94,62,2025-01-21 23:32:17,Bus,0,Minor,Rainy
95,40,2025-02-19 20:42:36,Bus,3,Major,Snowy
96,85,2024-08-23 18:37:24,Bus,0,Major,Rainy
97,80,2025-02-19 02:27:51,Bike,0,Minor,Snowy
98,82,2025-01-12 05:59:36,Bike,0,Major,Foggy
99,53,2024-10-08 13:01:54,Car,3,Major,Rainy
100,24,2025-03-15 11:41:51,Bike,0,Moderate,Foggy
101,26,2024-10-03 01:06:23,Bike,1,Minor,Rainy
102,89,2024-08-09 23:37:36,Car,2,Moderate,Sunny
103,60,2024-09-11 03:21:31,Bus,0,Moderate,Sunny
104,41,2024-04-27 12:25:50,Car,3,Major,Snowy
105,29,2024-10-28 12:52:05,Bus,2,Minor,Sunny
106,15,2024-10-31 04:45:09,Car,0,Moderate,Rainy
107,45,2025-04-03 04:13:04,Car,0,Minor,Snowy
108,65,2024-07-02 01:01:09,Car,2,Minor,Snowy
109,89,2024-06-01 15:05:30,Bus,1,Minor,Rainy
110,71,2024-10-12 04:29:41,Bike,2,Moderate,Snowy
111,9,2024-05-26 21:33:55,Car,0,Minor,Sunny
112,88,2024-09-17 11:54:31,Bus,0,Minor,Rainy
113,1,2024-12-04 05:04:10,Bus,0,Moderate,Rainy
114,8,2024-12-16 05:45:22,Bus,0,Major,Foggy
115,88,2024-06-09 05:43:46,Bike,1,Moderate,Rainy
116,63,2024-04-29 23:43:41,Bike,2,Moderate,Sunny
117,11,2024-08-04 18:31:36,Bus,1,Minor,Snowy
118,81,2024-05-25 07:44:30,Bus,2,Minor,Foggy
119,8,2024-10-11 18:54:29,Bus,0,Minor,Rainy
120,35,2024-05-21 06:01:10,Car,0,Moderate,Snowy
121,35,2024-09-02 23:53:29,Bike,0,Moderate,Snowy
122,33,2024-06-12 05:58:34,Car,0,Major,Sunny
123,5,2024-11-08 17:46:36,Bus,0,Moderate,Rainy
124,41,2025-01-18 12:08:08,Bus,0,Major,Sunny
125,28,2024-09-06 22:24:29,Bus,0,Minor,Snowy
126,7,2025-03-25 19:10:16,Bus,0,Minor,Snowy
127,73,2025-04-18 11:15:55,Bus,2,Moderate,Sunny
128,72,2025-03-24 21:20:23,Car,0,Major,Foggy
129,12,2024-06-25 00:16:00,Bike,0,Moderate,Snowy
130,34,2024-12-13 20:24:16,Car,3,Minor,Sunny
131,33,2024-06-24 14:34:47,Bike,0,Major,Rainy
132,48,2024-06-20 07:16:08,Car,2,Minor,Foggy
133,23,2025-01-22 06:13:34,Car,0,Moderate,Sunny
134,62,2024-11-19 00:04:23,Bike,3,Moderate,Rainy
135,88,2024-08-10 10:18:04,Car,0,Minor,Foggy
136,37,2024-07-21 14:03:40,Bike,1,Moderate,Snowy
137,99,2024-08-17 13:20:27,Car,0,Moderate,Foggy
138,44,2024-06-05 13:38:29,Bike,1,Minor,Foggy
139,86,2024-12-09 00:57:18,Car,0,Major,Snowy
140,91,2024-07-08 17:52:18,Bike,1,Minor,Snowy
141,35,2024-11-09 17:07:36,Car,0,Moderate,Foggy
142,65,2025-01-11 06:03:20,Bike,2,Minor,Rainy
143,99,2024-07-28 23:28:36,Bike,0,Major,Rainy
144,47,2024-09-29 00:34:46,Bus,0,Major,Snowy
145,78,2024-10-06 07:19:55,Bus,1,Major,Snowy
146,3,2024-06-14 01:48:36,Car,1,Moderate,Sunny
147,1,2024-07-18 16:27:13,Bike,1,Moderate,Snowy
148,5,2024-07-24 11:23:46,Car,0,Minor,Foggy
149,90,2024-07-23 07:14:32,Bike,3,Minor,Sunny
150,14,2025-01-03 19:30:55,Car,0,Moderate,Rainy
151,27,2024-12-24 04:52:50,Bus,3,Major,Rainy
152,9,2025-04-09 07:00:21,Car,0,Moderate,Rainy
153,79,2024-12-16 00:15:56,Bus,2,Minor,Snowy
154,15,2024-07-10 17:12:54,Car,0,Minor,Rainy
155,90,2025-03-23 05:47:05,Bus,0,Minor,Foggy
156,42,2024-10-12 14:59:51,Bus,1,Moderate,Snowy
157,77,2024-07-06 09:47:52,Bus,1,Minor,Rainy
158,51,2024-09-08 22:17:32,Bike,3,Major,Snowy
159,63,2024-10-31 17:50:31,Bike,0,Minor,Snowy
160,96,2024-05-26 06:36:25,Bus,0,Minor,Snowy
161,52,2025-04-21 13:37:34,Bus,3,Moderate,Foggy
162,96,2025-01-15 08:01:39,Car,1,Major,Sunny
163,4,2024-12-02 23:39:21,Car,3,Minor,Foggy
164,94,2024-10-09 19:31:14,Bike,3,Major,Snowy
165,23,2024-05-29 06:05:40,Bus,0,Minor,Rainy
166,15,2025-02-01 22:37:03,Bike,0,Minor,Snowy
167,43,2024-11-16 16:25:01,Car,2,Moderate,Rainy
168,29,2024-11-27 04:05:32,Bus,2,Moderate,Snowy
169,36,2024-05-21 23:15:37,Bike,0,Minor,Sunny
170,13,2024-04-30 01:19:45,Car,2,Minor,Rainy
171,32,2024-09-17 03:43:26,Car,0,Minor,Snowy
172,71,2024-12-10 04:58:14,Bike,3,Moderate,Foggy
173,59,2025-02-08 21:21:40,Car,3,Moderate,Snowy
174,86,2025-02-06 16:57:05,Bus,0,Minor,Snowy
175,28,2025-02-08 15:12:50,Bus,2,Minor,Sunny
176,66,2024-06-18 22:10:54,Car,0,Moderate,Snowy
177,42,2025-01-14 13:26:57,Bus,2,Major,Rainy
178,45,2024-07-16 03:21:59,Car,3,Moderate,Snowy
179,62,2024-05-12 13:16:33,Car,2,Moderate,Foggy
180,57,2024-08-12 02:39:07,Bus,3,Major,Rainy
181,6,2024-07-04 07:39:48,Car,0,Moderate,Rainy
182,28,2025-03-22 11:05:57,Bus,0,Moderate,Foggy
183,28,2025-01-18 11:02:33,Bike,0,Major,Snowy
184,44,2025-03-30 15:06:26,Car,0,Major,Sunny
185,84,2025-04-23 03:20:13,Car,1,Minor,Foggy
186,30,2025-02-27 05:43:25,Car,1,Major,Snowy
187,62,2025-03-24 17:27:20,Bike,3,Moderate,Rainy
188,75,2024-07-07 06:38:58,Bus,0,Moderate,Snowy
189,92,2025-01-13 11:35:54,Bike,2,Major,Foggy
190,89,2024-05-03 02:03:04,Bike,0,Major,Sunny
191,62,2024-05-01 07:06:27,Bus,1,Major,Rainy
192,97,2025-03-22 11:58:54,Bus,2,Minor,Snowy
193,1,2024-08-19 04:04:41,Bus,0,Major,Snowy
194,27,2024-08-19 07:58:50,Bus,1,Major,Foggy
195,62,2024-07-23 13:56:49,Car,2,Major,Rainy
196,77,2024-06-19 02:19:13,Car,0,Minor,Rainy
197,3,2025-03-06 07:41:28,Bike,0,Major,Snowy
198,70,2024-04-29 15:19:34,Car,3,Major,Foggy
199,72,2024-10-18 06:02:30,Bus,0,Minor,Rainy
200,27,2024-09-07 15:06:16,Car,0,Minor,Foggy
201,9,2024-10-28 21:22:08,Bus,0,Major,Foggy
202,62,2025-02-27 01:58:24,Bike,0,Minor,Snowy
203,37,2024-10-31 05:47:38,Car,0,Major,Rainy
204,97,2025-02-13 18:03:02,Bike,3,Major,Rainy
205,51,2024-05-19 00:35:35,Car,0,Minor,Snowy
206,44,2024-10-20 20:23:54,Bike,0,Major,Rainy
207,24,2024-05-07 11:35:52,Car,2,Moderate,Sunny
208,79,2024-11-08 04:29:58,Bike,2,Minor,Foggy
209,59,2024-10-22 00:23:05,Bus,0,Major,Sunny
210,32,2025-03-05 14:26:03,Bike,3,Moderate,Sunny
211,96,2024-12-07 00:57:34,Car,0,Major,Foggy
212,88,2024-07-14 13:03:20,Car,0,Major,Snowy
213,52,2024-05-05 05:38:49,Bus,1,Major,Sunny
214,62,2024-08-05 01:32:59,Bike,0,Minor,Sunny
215,58,2025-02-12 04:53:37,Car,1,Moderate,Sunny
216,52,2024-05-31 13:11:25,Car,3,Moderate,Sunny
217,12,2024-05-31 12:39:23,Bus,3,Minor,Snowy
218,39,2024-08-23 16:20:26,Bike,0,Minor,Sunny
219,2,2024-12-03 00:06:46,Car,0,Major,Foggy
220,3,2025-01-02 18:32:13,Bike,0,Moderate,Rainy
221,56,2024-10-03 19:19:32,Car,2,Major,Sunny
222,81,2024-06-02 09:25:38,Bike,0,Minor,Foggy
223,59,2025-02-01 07:20:32,Bike,0,Minor,Snowy
224,2,2024-10-25 09:10:17,Bike,1,Major,Snowy
225,2,2025-04-22 23:46:05,Bus,1,Minor,Foggy
226,92,2024-12-10 04:28:17,Bike,3,Moderate,Foggy
227,54,2024-11-15 12:17:45,Car,0,Minor,Snowy
228,87,2024-07-10 16:50:13,Bus,1,Major,Sunny
229,96,2025-02-09 15:14:20,Bike,0,Minor,Foggy
230,97,2024-07-16 20:06:25,Bus,1,Minor,Rainy
231,1,2024-12-28 23:31:45,Bike,0,Major,Snowy
232,19,2024-11-03 18:14:13,Car,0,Minor,Sunny
233,2,2025-02-07 23:14:20,Car,3,Minor,Sunny
234,53,2024-07-16 10:59:06,Bus,0,Major,Foggy
235,44,2024-07-12 11:53:03,Bus,1,Moderate,Foggy
236,90,2025-01-27 07:41:58,Bus,1,Minor,Snowy
237,32,2024-08-20 19:30:48,Bike,0,Moderate,Rainy
238,70,2025-02-03 08:27:34,Bus,0,Major,Snowy
239,32,2025-03-02 19:23:46,Bike,0,Moderate,Sunny
240,68,2025-01-23 08:24:15,Bike,0,Minor,Sunny
241,55,2025-02-02 02:24:13,Bus,0,Major,Foggy
242,75,2024-11-06 13:18:53,Bus,0,Minor,Rainy
243,56,2025-03-01 21:36:02,Bike,0,Minor,Rainy
244,17,2024-08-13 13:27:35,Car,1,Moderate,Sunny
245,38,2024-12-14 14:44:41,Bus,2,Moderate,Rainy
246,24,2024-08-23 02:36:59,Bus,0,Major,Rainy
247,69,2024-07-22 06:37:19,Car,1,Major,Snowy
248,98,2024-09-26 14:23:22,Bike,1,Minor,Rainy
249,70,2024-08-09 01:32:17,Car,1,Major,Snowy
250,86,2024-05-04 13:51:36,Bus,1,Moderate,Rainy
251,11,2024-12-05 08:05:54,Car,0,Minor,Rainy
252,16,2025-03-18 21:44:48,Bus,3,Major,Rainy
253,97,2025-03-02 09:02:01,Bus,2,Moderate,Snowy
254,73,2025-04-26 08:32:52,Car,2,Moderate,Foggy
255,59,2025-02-25 16:48:16,Car,0,Major,Foggy
256,70,2024-06-18 17:21:22,Car,0,Major,Snowy
257,80,2024-12-02 05:10:42,Bike,1,Major,Sunny
258,93,2025-04-21 20:20:40,Car,1,Moderate,Sunny
259,3,2024-12-27 18:48:13,Bike,2,Major,Rainy
260,20,2024-05-18 04:02:37,Car,0,Minor,Rainy
261,59,2024-05-05 18:02:33,Bike,1,Moderate,Rainy
262,36,2024-10-21 05:39:57,Bike,2,Major,Foggy
263,19,2024-11-17 17:14:06,Bike,3,Major,Snowy
264,90,2025-03-08 12:09:00,Car,3,Minor,Sunny
265,67,2024-08-24 04:02:06,Bike,0,Moderate,Snowy
266,19,2024-08-03 07:51:49,Bike,0,Minor,Sunny
267,20,2024-05-18 23:42:50,Bike,0,Moderate,Foggy
268,96,2024-07-08 08:45:45,Car,0,Major,Foggy
269,71,2024-11-30 11:46:45,Bus,3,Minor,Rainy
270,52,2024-10-09 00:14:08,Car,0,Major,Foggy
271,33,2024-11-01 16:44:39,Bus,2,Minor,Foggy
272,40,2024-05-30 01:54:49,Bike,1,Moderate,Snowy
273,39,2024-11-02 09:10:54,Car,3,Moderate,Sunny
274,82,2024-07-28 08:30:04,Bike,3,Moderate,Rainy
275,1,2025-03-15 07:39:12,Car,0,Major,Rainy
276,11,2024-11-02 07:07:26,Car,2,Minor,Snowy
277,92,2025-03-16 16:24:26,Bike,2,Moderate,Sunny
278,57,2024-06-02 13:21:36,Bike,0,Major,Snowy
279,89,2025-02-09 14:03:11,Car,0,Major,Rainy
280,50,2024-07-29 17:44:19,Bus,2,Major,Foggy
281,23,2024-08-14 00:43:45,Car,2,Major,Foggy
282,31,2024-09-02 11:08:36,Car,1,Major,Sunny
283,94,2024-08-03 14:50:29,Bus,3,Moderate,Rainy
284,42,2024-12-06 21:22:28,Car,0,Minor,Snowy
285,99,2025-02-26 01:20:17,Bus,1,Minor,Sunny
286,7,2024-08-24 10:10:41,Car,3,Major,Foggy
287,16,2024-07-23 13:16:23,Car,2,Minor,Foggy
288,90,2024-10-21 13:19:40,Car,2,Minor,Foggy
289,60,2024-06-22 05:12:36,Bike,2,Minor,Foggy
290,2,2024-09-29 21:02:37,Bus,0,Moderate,Sunny
291,1,2024-08-04 01:21:36,Bike,0,Minor,Sunny
292,48,2025-03-16 00:35:32,Bus,0,Minor,Foggy
293,12,2024-09-21 18:17:12,Bike,0,Minor,Foggy
294,69,2024-10-12 23:59:48,Car,2,Major,Sunny
295,37,2024-11-12 06:08:07,Bus,0,Major,Rainy
296,32,2025-04-02 05:27:23,Car,0,Minor,Foggy
297,9,2024-11-25 18:59:30,Bike,1,Major,Sunny
298,99,2025-04-05 12:14:40,Bus,1,Major,Snowy
299,19,2024-08-31 02:29:06,Bike,1,Moderate,Rainy
300,48,2024-12-25 05:26:00,Bike,0,Major,Sunny
301,80,2024-12-14 19:18:11,Bus,0,Major,Snowy
302,3,2025-02-23 07:35:04,Bus,0,Major,Rainy
303,20,2025-03-15 08:56:59,Bike,0,Major,Foggy
304,24,2024-07-09 19:40:55,Bike,2,Major,Sunny
305,54,2025-03-19 23:38:45,Bike,0,Minor,Sunny
306,33,2025-03-27 13:45:26,Bus,2,Moderate,Sunny
307,24,2024-10-12 18:08:08,Car,3,Moderate,Foggy
308,75,2024-07-25 21:38:39,Bus,0,Minor,Foggy
309,72,2024-10-23 12:28:06,Car,3,Major,Snowy
310,36,2024-08-02 23:29:39,Bike,1,Major,Sunny
311,38,2025-03-10 00:47:36,Bus,1,Moderate,Sunny
312,84,2024-08-08 04:02:32,Car,3,Minor,Rainy
313,99,2025-02-10 12:11:32,Bus,0,Minor,Rainy
314,89,2024-07-20 10:12:33,Car,1,Moderate,Snowy
315,99,2024-09-30 03:43:13,Car,0,Minor,Snowy
316,25,2024-07-21 21:45:13,Bus,1,Moderate,Snowy
317,93,2025-03-07 00:38:34,Car,1,Minor,Rainy
318,18,2024-07-05 10:43:51,Bus,0,Moderate,Snowy
319,82,2024-11-22 10:27:25,Car,0,Minor,Snowy
320,66,2024-07-08 01:25:56,Bus,0,Major,Rainy
321,54,2024-08-17 01:22:03,Bike,3,Major,Sunny
322,35,2025-02-16 18:21:14,Bus,2,Moderate,Sunny
323,80,2025-03-01 01:54:52,Bus,3,Major,Rainy
324,61,2024-08-30 02:12:51,Bus,0,Minor,Foggy
325,41,2025-02-06 18:45:59,Bus,2,Minor,Sunny
326,100,2025-03-22 16:07:16,Bike,0,Major,Sunny
327,33,2024-06-30 19:15:40,Bike,1,Minor,Rainy
328,68,2024-05-31 01:45:02,Bike,0,Minor,Snowy
329,33,2024-10-22 12:03:59,Bike,3,Major,Snowy
330,14,2024-12-11 19:04:12,Bus,0,Moderate,Snowy
331,21,2024-07-25 17:16:09,Car,2,Major,Foggy
332,48,2024-08-02 01:32:09,Bike,2,Minor,Rainy
333,20,2024-08-31 12:54:14,Car,1,Minor,Snowy
334,8,2024-11-26 00:18:12,Car,1,Minor,Foggy
335,7,2024-05-16 06:36:49,Bus,3,Moderate,Sunny
336,67,2025-03-02 12:12:01,Car,0,Minor,Foggy
337,17,2024-11-15 08:14:18,Bike,3,Minor,Foggy
338,33,2024-06-27 15:57:22,Car,0,Minor,Rainy
339,48,2025-04-01 22:08:07,Car,0,Moderate,Snowy
340,76,2025-03-11 12:46:58,Car,1,Minor,Sunny
341,59,2025-03-31 00:54:30,Car,0,Major,Foggy
342,86,2025-02-19 15:25:14,Bus,0,Moderate,Rainy
343,22,2024-12-05 13:50:20,Bike,0,Major,Sunny
344,30,2024-05-11 01:43:22,Bike,0,Minor,Foggy
345,38,2024-11-05 18:52:01,Car,0,Minor,Snowy
346,51,2025-04-14 03:09:07,Car,0,Major,Rainy
347,54,2024-11-27 02:05:32,Bike,0,Major,Foggy
348,8,2024-07-31 00:32:45,Car,1,Minor,Foggy
349,27,2024-12-03 05:53:55,Bike,0,Minor,Snowy
350,27,2024-08-11 09:02:17,Car,3,Major,Foggy
351,98,2024-11-07 06:35:44,Bike,1,Moderate,Foggy
352,21,2024-06-24 00:16:28,Bike,2,Moderate,Snowy
353,30,2025-03-04 22:56:33,Bus,2,Major,Sunny
354,97,2024-09-12 16:11:52,Bike,0,Moderate,Sunny
355,28,2024-11-30 04:31:32,Bike,0,Minor,Rainy
356,64,2024-08-04 18:13:05,Car,2,Major,Sunny
357,97,2025-01-24 23:14:58,Bike,0,Minor,Rainy
358,69,2024-08-10 19:16:21,Car,0,Minor,Snowy
359,61,2024-11-03 13:41:03,Car,0,Minor,Sunny
360,48,2024-12-19 04:43:11,Bus,3,Minor,Snowy
361,19,2024-05-09 07:39:17,Bus,0,Minor,Foggy
362,4,2024-12-03 16:06:30,Bus,0,Minor,Snowy
363,35,2024-09-22 12:44:47,Bike,0,Minor,Snowy
364,64,2025-03-13 23:44:13,Bike,0,Major,Snowy
365,49,2024-11-05 15:28:49,Bike,0,Minor,Sunny
366,17,2024-06-16 16:38:20,Bike,0,Minor,Snowy
367,44,2025-04-17 23:47:12,Bus,0,Major,Snowy
368,92,2025-01-01 04:42:35,Bus,0,Minor,Rainy
369,30,2024-09-14 20:23:54,Car,0,Minor,Foggy
370,93,2024-04-27 21:54:33,Bus,1,Moderate,Foggy
371,46,2025-04-16 12:06:02,Bus,0,Major,Sunny
372,6,2024-05-07 20:05:30,Bike,0,Major,Rainy
373,99,2025-03-11 11:09:38,Bus,0,Major,Foggy
374,37,2025-01-19 19:13:08,Bike,2,Moderate,Foggy
375,24,2024-09-03 05:19:39,Bus,2,Major,Sunny
376,93,2025-04-16 02:15:06,Bike,0,Moderate,Foggy
377,46,2025-01-14 05:12:58,Car,0,Moderate,Rainy
378,53,2024-08-04 00:31:03,Car,0,Major,Rainy
379,95,2025-04-14 04:10:33,Bike,1,Minor,Rainy
380,99,2025-04-07 10:45:29,Bus,0,Moderate,Sunny
381,60,2024-10-28 08:24:53,Car,2,Major,Snowy
382,97,2024-05-03 14:33:35,Bike,1,Minor,Sunny
383,63,2024-11-20 00:49:16,Bike,3,Major,Foggy
384,85,2024-08-21 06:08:56,Bus,0,Moderate,Sunny
385,32,2024-08-29 05:57:05,Car,0,Moderate,Foggy
386,87,2025-04-18 09:07:11,Bus,2,Major,Foggy
387,33,2024-10-30 17:20:09,Bike,1,Major,Snowy
388,67,2025-04-05 10:27:02,Bus,0,Minor,Foggy
389,18,2025-02-02 22:53:03,Car,1,Moderate,Rainy
390,25,2024-12-25 17:24:01,Bus,0,Major,Sunny
391,95,2024-12-22 01:55:35,Car,0,Major,Snowy
392,54,2024-10-16 10:02:09,Bus,3,Minor,Snowy
393,58,2024-08-22 02:11:03,Bike,0,Moderate,Sunny
394,67,2025-02-27 04:35:42,Bus,2,Major,Snowy
395,46,2025-01-29 21:00:28,Bike,0,Minor,Foggy
396,24,2025-02-06 12:13:48,Car,0,Major,Rainy
397,32,2024-08-28 00:23:22,Bike,1,Major,Rainy
398,47,2024-07-29 10:00:46,Bus,1,Moderate,Sunny
399,86,2024-05-14 23:02:07,Car,0,Moderate,Snowy
400,23,2025-03-12 18:03:18,Bus,0,Minor,Rainy
401,66,2025-04-23 20:18:26,Bike,0,Moderate,Foggy
402,27,2025-03-21 04:57:44,Bike,0,Moderate,Foggy
403,2,2024-10-13 00:58:21,Bike,2,Minor,Foggy
404,90,2024-06-02 21:42:52,Car,0,Major,Foggy
405,17,2025-02-08 16:05:15,Car,0,Minor,Rainy
406,33,2025-02-24 22:48:39,Bike,0,Moderate,Snowy
407,9,2024-12-19 08:01:56,Bike,0,Major,Foggy
408,43,2024-06-02 03:48:22,Bus,0,Major,Rainy
409,48,2024-05-23 11:54:50,Bus,2,Moderate,Rainy
410,39,2024-10-02 22:04:51,Car,2,Major,Foggy
411,93,2024-09-28 05:07:59,Car,0,Minor,Snowy
412,42,2024-07-29 03:39:46,Bike,1,Major,Snowy
413,26,2024-09-28 13:56:29,Bus,1,Major,Snowy
414,99,2024-06-03 00:41:10,Car,1,Minor,Foggy
415,50,2025-04-06 22:31:14,Bike,0,Moderate,Rainy
416,25,2025-04-20 13:13:20,Bus,3,Minor,Sunny
417,24,2024-09-12 14:42:48,Bus,1,Moderate,Snowy
418,13,2024-07-14 10:51:31,Bus,0,Major,Sunny
419,60,2024-07-21 17:26:20,Bus,3,Minor,Rainy
420,7,2024-10-16 23:18:14,Bike,1,Minor,Foggy
421,57,2024-11-29 07:07:53,Bike,0,Minor,Sunny
422,36,2025-02-18 09:32:03,Bus,0,Minor,Foggy
423,45,2024-08-07 19:07:54,Car,2,Major,Rainy
424,20,2024-08-20 17:38:36,Bike,2,Major,Snowy
425,65,2024-05-25 20:00:18,Bus,0,Moderate,Sunny
426,8,2024-07-01 16:15:54,Bus,3,Moderate,Snowy
427,16,2024-06-06 20:26:30,Bus,1,Minor,Rainy
428,14,2025-03-20 11:42:47,Car,0,Major,Sunny
429,76,2025-03-01 06:00:55,Bus,0,Moderate,Snowy
430,87,2025-01-07 23:02:59,Car,0,Moderate,Rainy
431,15,2025-01-04 08:03:40,Bike,3,Minor,Sunny
432,92,2024-08-16 20:41:06,Car,3,Minor,Snowy
433,98,2024-07-29 13:31:12,Bike,0,Minor,Snowy
434,66,2024-08-12 16:09:12,Car,0,Major,Rainy
435,32,2024-07-09 02:54:17,Bike,0,Major,Rainy
436,87,2025-02-21 04:45:13,Bus,3,Minor,Rainy
437,63,2024-09-26 06:25:49,Bike,1,Minor,Rainy
438,86,2024-09-14 20:42:58,Bike,1,Minor,Sunny
439,51,2025-02-18 00:55:35,Car,3,Moderate,Foggy
